Timestamp,ECG_Value
2026-02-26 15:17:29,0.04
2026-02-26 15:17:29,-0.13
2026-02-26 15:17:29,0.11
2026-02-26 15:17:29,0.04
2026-02-26 15:17:29,-0.09
2026-02-26 15:17:29,0.02
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,-0.03
2026-02-26 15:17:29,0.03
2026-02-26 15:17:29,-0.03
2026-02-26 15:17:29,0.02
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,-0.02
2026-02-26 15:17:29,0.02
2026-02-26 15:17:29,-0.01
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,-0.01
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,-0.01
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,0
2026-02-26 15:17:29,-0.01
2026-02-26 15:17:29,0.02
2026-02-26 15:17:29,-0.02
2026-02-26 15:17:29,0.02
2026-02-26 15:17:29,-0.01
2026-02-26 15:17:29,-0.01
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,0
2026-02-26 15:17:29,-0.01
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,-0.01
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,-0.01
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,-0.01
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,0
2026-02-26 15:17:29,-0.01
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,-0.01
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0
2026-02-26 15:17:29,-0.01
2026-02-26 15:17:29,0.01
2026-02-26 15:17:29,0
2026-02-26 15:17:29,0.01
2026-02-26 15:17:30,-0.02
2026-02-26 15:17:30,0.02
2026-02-26 15:17:30,-0.01
2026-02-26 15:17:30,0
2026-02-26 15:17:30,0
2026-02-26 15:17:30,0.01
2026-02-26 15:17:30,-0.01
2026-02-26 15:17:30,0
2026-02-26 15:17:30,0.01
2026-02-26 15:17:30,-0.01
2026-02-26 15:17:30,-0.01
2026-02-26 15:17:30,0.01
2026-02-26 15:17:30,0
2026-02-26 15:17:30,0
2026-02-26 15:17:30,0
2026-02-26 15:17:30,0
2026-02-26 15:17:30,0
2026-02-26 15:17:30,0
2026-02-26 15:17:30,0
2026-02-26 15:17:30,0.01
2026-02-26 15:17:30,0
2026-02-26 15:17:30,-0.01
2026-02-26 15:17:30,0.01
2026-02-26 15:17:30,0
2026-02-26 15:17:30,-0.01
2026-02-26 15:17:30,0.01
2026-02-26 15:17:30,0.01
2026-02-26 15:17:30,-0.01
2026-02-26 15:17:30,0
2026-02-26 15:17:30,0.01
2026-02-26 15:17:30,-0.01
2026-02-26 15:17:30,0
2026-02-26 15:17:30,0
2026-02-26 15:17:30,-0.01
2026-02-26 15:17:30,0.02
2026-02-26 15:17:30,-0.02
2026-02-26 15:17:30,0
2026-02-26 15:17:30,0
2026-02-26 15:17:30,0.01
2026-02-26 15:17:30,-0.02
2026-02-26 15:17:30,0.01
2026-02-26 15:17:30,0.01
2026-02-26 15:17:30,-0.02
2026-02-26 15:17:30,0.01
2026-02-26 15:17:30,0
